"","x"
"122","https://www.cnn.com/2024/04/11/us/arizona-abortion-ban-enforcement/index.html"
"123","https://www.cnn.com/2024/04/11/us/alabama-death-row-inmate-execution-appeals/index.html"
"124","https://www.cnn.com/2024/04/11/politics/kari-lake-arizona-abortion-ban-support/index.html"
"125","https://www.cnn.com/2024/04/11/europe/poland-abortion-debate-tusk-intl/index.html"
"126","https://www.cnn.com/2024/04/11/health/substance-use-pregnancy-policy-change/index.html"
"127","https://www.cnn.com/2024/04/10/politics/trump-says-he-wouldnt-sign-federal-abortion-ban/index.html"
"128","https://www.cnn.com/2024/04/09/politics/trump-abortion-stances-timeline/index.html"
"129","https://www.cnn.com/2024/04/09/opinions/trumps-abortion-compromise-after-roe-has-merit-antle/index.html"
"130","https://www.cnn.com/2024/04/10/politics/arizona-abortion-politics/index.html"
"131","https://www.cnn.com/2024/04/09/politics/trump-abortion-arizona-analysis/index.html"
"132","https://www.cnn.com/2024/04/10/politics/abortion-donald-trump-vice-president/index.html"
"133","https://www.cnn.com/2024/04/09/politics/abortion-ban-arizona-what-matters/index.html"
"134","https://www.cnn.com/2024/04/08/us/arizona-supreme-court-abortion-access-tuesday/index.html"
"135","https://www.cnn.com/2024/04/09/health/wnba-opill-birth-control/index.html"
"136","https://www.cnn.com/2024/04/08/politics/donald-trump-abortion-2024/index.html"
"137","https://www.cnn.com/2024/04/07/us/brian-dorsey-missouri-execution-death-row/index.html"
"138","https://www.cnn.com/2024/04/08/politics/fact-check-trump-abortion-roe-overturned-legal-scholars/index.html"
"139","https://www.cnn.com/2024/04/08/world/gender-affirming-surgery-threatens-unique-dignity-of-a-person-vatican-says-intl/index.html"
"140","https://www.cnn.com/2024/04/06/us/tennessee-baby-olivia-video-bill/index.html"
"141","https://www.cnn.com/2024/04/06/politics/abortion-rights-ballot-initiatives-2024/index.html"
"142","https://www.cnn.com/2024/04/06/us/florida-abortion-ban-health-crisis/index.html"
"143","https://www.cnn.com/2024/04/05/opinions/florida-abortion-vote-biden-trump-cox/index.html"
"144","https://www.cnn.com/2024/04/04/opinions/birth-control-disinformation-republicans-campoamor/index.html"
"145","https://www.cnn.com/2024/04/04/health/florida-abortion-trends-6-week-limit/index.html"
"146","https://www.cnn.com/2024/04/04/politics/trump-abortion-policy-tease/index.html"
"147","https://www.cnn.com/2024/04/03/us/alabama-mobile-infirmary-hospital-end-ivf/index.html"
"148","https://www.cnn.com/2024/04/01/us/texas-abortion-lawsuit-lizelle-gonzalez/index.html"
"149","https://www.cnn.com/2024/04/02/politics/florida-abortion-referendum-biden-democrats/index.html"
"150","https://www.cnn.com/2024/04/01/politics/florida-six-week-abortion-ban/index.html"
"151","https://www.cnn.com/2024/04/02/us/5-things-to-know-for-april-2-israel-trump-abortion-finland-google/index.html"
"152","https://www.cnn.com/2024/03/29/politics/comstock-act-alito-thomas-abortion/index.html"
"153","https://www.cnn.com/2024/03/28/opinions/abortion-pill-scotus-reproductive-rights-brown/index.html"
"154","https://www.cnn.com/2024/03/27/politics/kansas-legislature-gender-affirming-care-ban/index.html"
"155","https://www.cnn.com/2024/03/27/politics/stephen-breyer-abortion-wolf-blitzer-interview/index.html"
"156","https://www.cnn.com/2024/03/27/us/5-things-to-know-for-march-27-bridge-collapse-abortion-pill-2024-race-newsroom-revolt-medicare/index.html"
"157","https://www.cnn.com/2024/03/27/politics/barrett-kavanaugh-abortion-mifepristone/index.html"
"158","https://www.cnn.com/2024/03/26/politics/abortion-2024-campaign-biden-trump-kennedy/index.html"
"159","https://www.cnn.com/2024/03/26/politics/alabama-special-election-democrat-reproductive-rights/index.html"
"160","https://www.cnn.com/2024/03/26/opinions/mifepristone-supreme-court-oral-argument-abortion-rights-ziegler/index.html"
"161","https://www.cnn.com/politics/live-news/supreme-court-mifepristone-abortion-03-26-24/index.html"
"162","https://www.cnn.com/2024/03/26/entertainment/anne-hathaway-miscarriage-stage-intl-scli/index.html"
"163","https://www.cnn.com/2024/03/25/politics/abortion-roe-wade-mifepristone-preview/index.html"
"164","https://www.cnn.com/2024/03/25/politics/doctors-mifepristone-abortion-supreme-court/index.html"
"165","https://www.cnn.com/2024/03/25/health/self-managed-medication-abortion-surge-post-dobbs/index.html"
"166","https://www.cnn.com/2024/03/20/politics/alabama-special-election-abortion-rights-ivf/index.html"
"167","https://www.cnn.com/2024/03/19/politics/trump-thinking-in-terms-of-15-week-federal-abortion-ban/index.html"
"168","https://www.cnn.com/2024/03/19/opinions/fetal-personhood-sex-ed-curricula-alabama-ziegler/index.html"
"169","https://www.cnn.com/2024/03/18/health/abortion-data-guttmacher/index.html"
"170","https://www.cnn.com/2024/03/15/us/james-jennifer-crumbley-verdict-parents/index.html"
"171","https://www.cnn.com/2024/03/13/politics/kamala-harris-planned-parenthood-minnesota/index.html"
"172","https://www.cnn.com/2024/03/14/entertainment/olivia-rodrigo-contraceptives-tour/index.html"
"173","https://www.cnn.com/2024/03/14/politics/mike-johnson-dismisses-ivf-legislation/index.html"
"174","https://www.cnn.com/2024/03/12/health/maternal-mortality-trends-study-questions/index.html"
"175","https://www.cnn.com/2024/03/06/us/alabama-ivf-fertility-protection/index.html"
"176","https://www.cnn.com/2023/12/18/opinions/kate-cox-texas-abortion-law-el-salvador-viterna/index.html"
